Time,Point,ts_id
4/19/21 20:00,678.3752778,1
4/19/21 21:00,935.3330556,1
4/19/21 22:00,713.4711111,1
4/19/21 23:00,667.3013889,1
4/20/21 0:00,745.4961111,1
4/20/21 1:00,671.3747222,1
4/20/21 2:00,633.2486111,1
4/20/21 3:00,638.0683333,1
4/20/21 4:00,681.4808333,1
4/20/21 5:00,713.9866667,1
4/20/21 6:00,722.5097222,1
4/20/21 7:00,737.2783333,1
4/20/21 8:00,729.1522222,1
4/20/21 9:00,683.6483333,1
4/20/21 10:00,695.3127778,1
4/20/21 11:00,700.0244444,1
4/20/21 12:00,736.7772222,1
4/20/21 13:00,712.2269444,1
4/20/21 14:00,726.2280556,1
4/20/21 15:00,773.9833333,1
4/20/21 16:00,735.0494444,1
4/20/21 17:00,721.8472222,1
4/20/21 18:00,764.4458333,1
4/20/21 19:00,784.1075,1
4/20/21 20:00,673.5275,1
4/20/21 21:00,757.9922222,1
4/20/21 22:00,691.8538889,1
4/20/21 23:00,685.2527778,1
4/21/21 0:00,733.6063889,1
4/21/21 1:00,683.8219444,1
4/21/21 2:00,632.1086111,1
4/21/21 3:00,679.8716667,1
4/21/21 4:00,667.5461111,1
4/21/21 5:00,728.0413889,1
4/21/21 6:00,670.5827778,1
4/21/21 7:00,693.6866667,1
4/21/21 8:00,717.3063889,1
4/21/21 9:00,690.6286111,1
4/21/21 10:00,708.2463889,1
4/21/21 11:00,709.5183333,1
4/21/21 12:00,730.3797222,1
4/21/21 13:00,811.9166667,1
4/21/21 14:00,715.9605556,1
4/21/21 15:00,739.9711111,1
4/21/21 16:00,706.0569444,1
4/21/21 17:00,722.6172222,1
4/21/21 18:00,722.5494444,1
4/21/21 19:00,746.1713889,1
4/21/21 20:00,675.2458333,1
4/21/21 21:00,960.9866667,1
4/21/21 22:00,744.5383333,1
4/21/21 23:00,683.1994444,1
4/22/21 0:00,722.0983333,1
4/22/21 1:00,640.0477778,1
4/22/21 2:00,624.6227778,1
4/22/21 3:00,629.83,1
4/22/21 4:00,645.1961111,1
4/22/21 5:00,742.0230556,1
4/22/21 6:00,756.4088889,1
4/22/21 7:00,710.9536111,1
4/22/21 8:00,716.7530556,1
4/22/21 9:00,814.115,1
4/22/21 10:00,681.1383333,1
4/22/21 11:00,702.6447222,1
4/22/21 12:00,715.5872222,1
4/22/21 13:00,659.1841667,1
4/22/21 14:00,694.7638889,1
4/22/21 15:00,748.8994444,1
4/22/21 16:00,687.4063889,1
4/22/21 17:00,734.6086111,1
4/22/21 18:00,810.5925,1
4/22/21 19:00,741.2394444,1
4/22/21 20:00,682.1988889,1
4/22/21 21:00,953.6119444,1
4/22/21 22:00,738.8277778,1
4/22/21 23:00,681.8069444,1
4/23/21 0:00,713.3319444,1
4/23/21 1:00,650.0061111,1
4/23/21 2:00,622.2652778,1
4/23/21 3:00,612.8425,1
4/23/21 4:00,625.3888889,1
4/23/21 5:00,673.7491667,1
4/23/21 6:00,630.9375,1
4/23/21 7:00,655.3180556,1
4/23/21 8:00,647.6241667,1
4/23/21 9:00,641.3263889,1
4/23/21 10:00,625.9052778,1
4/23/21 11:00,662.3311111,1
4/23/21 12:00,637.0861111,1
4/23/21 13:00,604.0344444,1
4/23/21 14:00,592.3069444,1
4/23/21 15:00,658.6444444,1
4/23/21 16:00,627.53,1
4/23/21 17:00,644.1111111,1
4/23/21 18:00,712.5680556,1
4/23/21 19:00,687.2661111,1
4/23/21 20:00,648.3005556,1
4/23/21 21:00,908.5347222,1
4/23/21 22:00,691.9808333,1
4/23/21 23:00,623.7872222,1
4/24/21 0:00,669.3483333,1
4/24/21 1:00,619.6941667,1
4/24/21 2:00,590.5683333,1
4/24/21 3:00,582.9380556,1
4/24/21 4:00,596.155,1
4/24/21 5:00,653.4719444,1
4/24/21 6:00,570.2241667,1
4/24/21 7:00,585.1133333,1
4/24/21 8:00,589.4888889,1
4/24/21 9:00,588.9194444,1
4/24/21 10:00,585.9961111,1
4/24/21 11:00,625.1238889,1
4/24/21 12:00,539.3175,1
4/24/21 13:00,554.1861111,1
4/24/21 14:00,525.4930556,1
4/24/21 15:00,542.3069444,1
4/24/21 16:00,539.3313889,1
4/24/21 17:00,587.0536111,1
4/24/21 18:00,656.9702778,1
4/24/21 19:00,632.9969444,1
4/24/21 20:00,582.3458333,1
4/24/21 21:00,882.3758333,1
4/24/21 22:00,632.2061111,1
4/24/21 23:00,639.9025,1
4/25/21 0:00,651.2641667,1
4/25/21 1:00,576.9030556,1
4/25/21 2:00,555.5666667,1
4/25/21 3:00,517.7580556,1
4/25/21 4:00,587.7344444,1
4/25/21 5:00,617.7011111,1
4/25/21 6:00,588.4713889,1
